entity_id;trophic_class;species_id;pos_x;pos_y;pos_z;symmetry;intelligence_level;is_sessile;has_variable_form;adult;photo_cell_count;non_photo_cell_count;grown_cell_count;alive_body_part_count;energy;in_sunlight;reproduced;reproductions;predations;hunger;dopamine;target_distance;movement_speed;movement_dir_x;movement_dir_y;movement_dir_z;velocity_x;velocity_y;velocity_z;is_climbing;climb_energy_debt;cached_bounding_radius;dna_sigma;dna_k_eat;dna_k_repro;dna_lambda_energy;dna_k_curiosity;dna_k_progress;dna_intel_level;dna_is_carnivore;dna_is_photo;dna_symmetry;dna_has_variable_form;dna_is_sessile;dna_cell_count_norm;dna_photo_cell_ratio;dna_body_extent_x;dna_body_extent_y;dna_body_extent_z;dna_body_radius;dna_body_compactness
239;Herbivore;2;1935.605713;519.839539;631.806824;Bilateral;Level1;0;0;1;0;14;14;1;130.002884;1;0;0;5;0.263535;0.000000;30.501173;8.017977;0.999525;0.000000;-0.030813;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
241;Herbivore;2;64.287476;574.121460;1037.967651;Bilateral;Level1;0;0;1;0;14;14;1;127.904984;1;0;0;5;0.269969;0.250356;22.412609;13.701081;-0.171936;0.000000;-0.985108;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
243;Herbivore;2;908.959045;413.702301;1122.735107;Bilateral;Level1;0;0;1;0;14;14;1;114.689430;1;0;0;1;0.314263;0.000000;44.188156;15.671659;-0.729017;0.000000;-0.684495;0.000000;-0.304634;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
245;Herbivore;2;1102.171631;503.027924;1447.610474;Bilateral;Level1;0;0;1;0;14;14;1;126.770897;0;0;0;4;0.273511;0.000000;38.869457;17.413574;-0.408450;0.000000;0.912781;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
247;Herbivore;2;401.119690;515.862976;1520.533691;Bilateral;Level1;0;0;1;0;14;14;1;138.502319;1;0;0;2;0.239004;0.521692;10.121652;17.818964;0.976192;0.000000;-0.216907;0.000000;-2.718911;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
249;Herbivore;2;799.796692;608.956787;1752.484131;Bilateral;Level1;0;0;1;0;14;14;1;134.555847;1;0;0;2;0.250097;0.199778;27.411341;21.073105;0.507499;0.000000;-0.861653;0.000000;-10.020046;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
251;Herbivore;2;15.000000;573.028687;968.100647;Bilateral;Level1;0;0;1;0;14;14;1;140.000000;1;0;0;2;0.234924;0.600000;5.782328;28.031784;-0.969851;0.000000;0.243699;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
253;Herbivore;2;1981.067993;638.553833;1919.078125;Bilateral;Level1;0;0;1;0;14;14;1;123.550156;1;0;0;3;0.283828;0.000000;27.389982;3.570402;0.333374;0.000000;0.942795;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
255;Herbivore;2;805.487915;264.560974;995.088623;Bilateral;Level1;0;0;1;0;14;14;1;14.276946;0;0;0;0;0.996821;0.000000;14.606036;14.467419;-0.509944;0.000000;0.860207;0.000000;-1.802991;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
257;Herbivore;2;196.954056;531.298096;1379.155884;Bilateral;Level1;0;0;1;0;14;14;1;129.009857;1;0;0;6;0.266561;0.334346;50.000000;23.116018;-0.941895;0.000000;-0.335908;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
